geneset,go_id,gene
9+2 Motile Cilium,GO:0097729,RSPH9
9+2 Motile Cilium,GO:0097729,BBOF1
9+2 Motile Cilium,GO:0097729,TEKTL1
9+2 Motile Cilium,GO:0097729,TSSK6
9+2 Motile Cilium,GO:0097729,DNAH1
9+2 Motile Cilium,GO:0097729,RSPH1
9+2 Motile Cilium,GO:0097729,TSSK3
9+2 Motile Cilium,GO:0097729,CFAP20
9+2 Motile Cilium,GO:0097729,ODAD4
9+2 Motile Cilium,GO:0097729,SPEF2
9+2 Motile Cilium,GO:0097729,SPEF1
9+2 Motile Cilium,GO:0097729,DNHD1
9+2 Motile Cilium,GO:0097729,EFCAB6
9+2 Motile Cilium,GO:0097729,LYZL4
9+2 Motile Cilium,GO:0097729,LYZL6
9+2 Motile Cilium,GO:0097729,RPGR
9+2 Motile Cilium,GO:0097729,CT55
9+2 Motile Cilium,GO:0097729,CFAP276
9+2 Motile Cilium,GO:0097729,CST11
9+2 Motile Cilium,GO:0097729,IQUB
9+2 Motile Cilium,GO:0097729,DCDC2C
9+2 Motile Cilium,GO:0097729,HYDIN
90S Preribosome,GO:0030686,NOP14
90S Preribosome,GO:0030686,TBL3
90S Preribosome,GO:0030686,RRP36
90S Preribosome,GO:0030686,NOC4L
90S Preribosome,GO:0030686,NOC2L
90S Preribosome,GO:0030686,UTP20
90S Preribosome,GO:0030686,KRI1
90S Preribosome,GO:0030686,NOP9
90S Preribosome,GO:0030686,SRFBP1
AMPA Glutamate Receptor Complex,GO:0032281,GRIA2
AMPA Glutamate Receptor Complex,GO:0032281,GRIA3
AMPA Glutamate Receptor Complex,GO:0032281,GRIA1
AMPA Glutamate Receptor Complex,GO:0032281,GRID1
AMPA Glutamate Receptor Complex,GO:0032281,GRID2
AMPA Glutamate Receptor Complex,GO:0032281,VWC2
AMPA Glutamate Receptor Complex,GO:0032281,SHISA6
AMPA Glutamate Receptor Complex,GO:0032281,SHISA9
AMPA Glutamate Receptor Complex,GO:0032281,SHISA8
AMPA Glutamate Receptor Complex,GO:0032281,SHISA7
AMPA Glutamate Receptor Complex,GO:0032281,CACNG7
AMPA Glutamate Receptor Complex,GO:0032281,CACNG8
AMPA Glutamate Receptor Complex,GO:0032281,OLFM2
AMPA Glutamate Receptor Complex,GO:0032281,CNIH2
AMPA Glutamate Receptor Complex,GO:0032281,LLGL1
AMPA Glutamate Receptor Complex,GO:0032281,CACNG2
AMPA Glutamate Receptor Complex,GO:0032281,CACNG3
AMPA Glutamate Receptor Complex,GO:0032281,CNIH3
AMPA Glutamate Receptor Complex,GO:0032281,CACNG4
AMPA Glutamate Receptor Complex,GO:0032281,CACNG5
AMPA Glutamate Receptor Complex,GO:0032281,GRIA4
AMPA Glutamate Receptor Complex,GO:0032281,VWC2L
AP-1 Adaptor Complex,GO:0030121,AP1G1
AP-1 Adaptor Complex,GO:0030121,AP1G2
AP-1 Adaptor Complex,GO:0030121,AP1S1
AP-1 Adaptor Complex,GO:0030121,SYNRG
AP-1 Adaptor Complex,GO:0030121,AP1S3
AP-1 Adaptor Complex,GO:0030121,AP1B1
AP-1 Adaptor Complex,GO:0030121,AP1S2
AP-1 Adaptor Complex,GO:0030121,CLBA1
AP-1 Adaptor Complex,GO:0030121,AP1M1
AP-1 Adaptor Complex,GO:0030121,SLC18A3
AP-1 Adaptor Complex,GO:0030121,AP1M2
AP-2 Adaptor Complex,GO:0030122,TBC1D5
AP-2 Adaptor Complex,GO:0030122,SGIP1
AP-2 Adaptor Complex,GO:0030122,AP2B1
AP-2 Adaptor Complex,GO:0030122,STON2
AP-2 Adaptor Complex,GO:0030122,AP2S1
AP-2 Adaptor Complex,GO:0030122,STON1
AP-2 Adaptor Complex,GO:0030122,AP2A2
AP-2 Adaptor Complex,GO:0030122,SLC18A3
AP-2 Adaptor Complex,GO:0030122,AP2M1
AP-3 Adaptor Complex,GO:0030123,AP3M2
AP-3 Adaptor Complex,GO:0030123,VPS41
AP-3 Adaptor Complex,GO:0030123,AP3S1
AP-3 Adaptor Complex,GO:0030123,AP3D1
AP-3 Adaptor Complex,GO:0030123,VPS33A
AP-3 Adaptor Complex,GO:0030123,AP3B2
AP-3 Adaptor Complex,GO:0030123,AP3S2
AP-3 Adaptor Complex,GO:0030123,AP3M1
ATAC Complex,GO:0140672,WDR5
ATAC Complex,GO:0140672,SGF29
ATAC Complex,GO:0140672,KAT2B
ATAC Complex,GO:0140672,TADA2A
ATAC Complex,GO:0140672,ZZZ3
ATAC Complex,GO:0140672,KAT2A
ATAC Complex,GO:0140672,POLE3
ATAC Complex,GO:0140672,TADA3
ATAC Complex,GO:0140672,POLE4
ATAC Complex,GO:0140672,YEATS2
ATAC Complex,GO:0140672,MAP3K7
